x,y,z
7.397325,-0.007347,-2.041806
7.379755,0.057163,-2.162574
7.379471,0.004029,-2.043976
7.364525,0.058905,-2.146708
7.364298,0.016738,-2.052588
7.353440,0.056607,-2.127226
7.353294,0.029534,-2.066798
7.347587,0.050495,-2.106038
7.347536,0.041166,-2.085215
7.672156,0.267431,-2.058694
7.633358,0.253920,-2.069113
7.634415,0.262715,-2.065731
7.294913,0.219193,-2.129442
7.334250,0.203773,-2.129581
7.333194,0.194977,-2.132962
7.531076,0.085310,-2.145459
7.546240,0.051283,-2.155835
7.522016,0.086385,-2.146338
7.628804,0.269721,-2.063945
7.538246,0.090736,-2.142457
7.395611,0.392051,-2.051756
7.436533,0.372382,-2.053234
7.429363,0.366956,-2.056236
7.445593,0.371307,-2.052356
7.338803,0.187972,-2.134748
7.545470,0.322538,-2.078735
7.565409,0.296540,-2.046884
7.521432,0.330079,-2.064356
7.460484,0.116425,-2.127831
7.465808,0.130352,-2.165740
7.440516,0.142373,-2.159704
7.594797,0.295203,-2.081850
7.565409,0.296540,-2.046884
7.570762,0.310517,-2.084771
7.489843,0.115038,-2.162819
7.570762,0.310517,-2.084771
7.565409,0.296540,-2.046884
7.545470,0.322538,-2.078735
7.500126,0.332237,-2.041541
7.615211,0.278104,-2.070263
7.629706,0.261404,-2.051900
7.594797,0.295203,-2.081850
7.460484,0.116425,-2.127831
7.416478,0.149915,-2.145325
7.395537,0.151873,-2.122540
7.524394,0.081451,-2.132837
7.510258,0.097938,-2.151232
7.460484,0.116425,-2.127831
7.460484,0.116425,-2.127831
7.510258,0.097938,-2.151232
7.489843,0.115038,-2.162819
7.440516,0.142373,-2.159704
7.526907,0.077829,-2.132903
7.526400,0.077945,-2.133933
7.524394,0.081451,-2.132837
7.633644,0.260768,-2.050369
7.629706,0.261404,-2.051900
7.633411,0.261644,-2.051381
7.500126,0.332237,-2.041541
7.497718,0.335185,-2.039563
7.498465,0.335444,-2.040700
7.395537,0.151873,-2.122540
7.391448,0.151756,-2.123233
7.391145,0.152024,-2.122143
7.436699,0.127751,-1.524542
7.441747,0.125894,-1.524515
7.473741,0.099758,-1.529625
7.448582,0.158674,-1.511507
7.423354,0.178311,-1.507835
7.453631,0.156817,-1.511480
7.447131,0.125642,-1.523851
7.452322,0.127017,-1.522616
7.456813,0.129888,-1.520930
7.496037,0.138032,-1.512424
7.460829,0.149156,-1.513284
7.457850,0.153537,-1.512092
7.462046,0.138870,-1.516893
7.462275,0.144103,-1.514938
7.460163,0.133972,-1.518958
7.438007,0.157551,-1.513406
7.443198,0.158926,-1.512171
7.430167,0.150595,-1.517064
7.433518,0.154680,-1.515092
7.410416,0.134851,-1.525627
7.428054,0.140466,-1.521084
7.429500,0.135412,-1.522738
7.432479,0.131031,-1.523930
7.428285,0.145697,-1.519129
7.388979,0.002953,-1.185000
7.426021,-0.025040,-1.190083
7.394027,0.001097,-1.184973
7.400862,0.033876,-1.171964
7.405911,0.032019,-1.171937
7.375634,0.053513,-1.168292
7.404602,0.002219,-1.183074
7.399411,0.000844,-1.184309
7.409093,0.005090,-1.181388
7.448318,0.013234,-1.172882
7.410131,0.028740,-1.172549
7.413109,0.024358,-1.173741
7.414555,0.019305,-1.175395
7.414326,0.014073,-1.177351
7.412443,0.009174,-1.179415
7.390287,0.032753,-1.173863
7.395478,0.034128,-1.172628
7.382447,0.025797,-1.177521
7.385798,0.029882,-1.175549
7.362696,0.010053,-1.186084
7.381780,0.010614,-1.183196
7.380334,0.015668,-1.181542
7.384759,0.006233,-1.184387
7.380565,0.020899,-1.179586
7.338591,-0.040663,-1.600231
7.382208,-0.057369,-1.600241
7.342810,-0.043942,-1.600843
7.317438,-0.066449,-1.612681
